Stroke#,Radical,Meaning,Reading,Reading-R,Position-J,Position-R,Importance,Origin,Variant-of,Variant-of-Reading
3,⻏,"village, country, city",おおざと,oozato,つくり,tsukuri,Important,,⾢,むら
3,⻖,"hill, mound",こざとへん,kozatohen,へん,hen,Important,,⾩,こざと
3,⺍,Katakana Tsu,つ,tsu,かんむり,kanmuri,,,,
3,⺖,"heart, mind, spirit",りっしんべん,risshinben,へん,hen,Important,,⼼,こころ
3,⺘,hand,てへん,tehen,へん,hen,Important,,⼿,て
3,⺡,water,さんずい,sanzui,へん,hen,Important,,⽔,みず
3,⺨,beast,けものへん,kemonohen,へん,hen,Important,,⽝,いぬ
4,⼼,"heart, mind, spirit",こころ,kokoro,,,,Kangxi,,
4,⺗,"heart, mind, spirit",したごころ,shitagokoro,あし,ashi,,,⼼,こころ
4,⼽,"spear, weapon",ほこ,hoko,,,,Kangxi,,
4,⼾,door,と,to,,,,Kangxi,,
4,,door,とだれ,todare,たれ,tare,,,⼾,と
4,⼿,hand,て,te,,,,Kangxi,,
4,⽀,branch,しにょう,shinyou,,,,Kangxi,,
4,⽁,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri,,Kangxi,,
4,⺙,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri,Important,,⽁,ぼくづくり
4,⽂,"literature, letters",ぶん,bun,,,,Kangxi,,
4,⽃,"big dipper, ladle, 18 liters",ますづくり,masuzukuri,つくり,tsukuri,,Kangxi,,
4,⽄,axe,おのづくり,onozukuri,つくり,tsukuri,,Kangxi,,
4,⽅,"direction, flag",ほう,hou,,,,Kangxi,,
4,,"direction, flag",ほうへん,houhen,へん,hen,,,⽅,ほう
4,⽆,not,むにょう,munyou,,,,Kangxi,,
4,⽇,"sun, day, time",ひ,hi,,,,Kangxi,,
4,,"sun, day, time",ひへん,hihen,へん,hen,Important,,⽇,ひ
4,⽈,to say,ひらび,hirabi,,,,Kangxi,,
4,⽉,"moon, month, period",つき,tsuki,,,,Kangxi,,
